Cellulose_pct,Hemicellulose_pct,Lignin_pct,Ash_pct,ParticleSize_mm,PyrolysisTemp_C,HeatingRate_Cmin,N2FlowRate_mLmin,BioOilYield_pct,Source
27.5,25.4,21.7,3.77,1.0,490.0,,,36.21,Zhao2024
27.5,25.4,21.7,3.77,1.5,490.0,,,33.18,Zhao2024
27.5,25.4,21.7,3.77,2.0,490.0,,,31.14,Zhao2024
37.8,25.3,23.3,9.5,5.0,491.0,,,67.81,Zhao2024
37.8,25.3,23.3,9.5,10.0,490.0,,,61.08,Zhao2024
37.8,25.3,23.3,9.5,5.0,487.0,,,64.11,Zhao2024
37.8,25.3,23.3,9.5,5.0,445.0,,,68.08,Zhao2024
41.0,26.5,25.3,1.8,0.9,410.0,,,67.04,Zhao2024
41.0,26.5,25.3,1.8,0.6,417.0,,,63.0,Zhao2024
36.5,26.2,24.1,10.8,5.0,350.0,,,33.27,Zhao2024
36.5,26.2,24.1,10.8,5.0,400.0,,,37.83,Zhao2024
36.5,26.2,24.1,10.8,5.0,450.0,,,41.31,Zhao2024
36.5,26.2,24.1,10.8,5.0,500.0,,,38.42,Zhao2024
48.34,11.3,31.45,2.3,0.75,277.0,,,40.39,Zhao2024
48.34,11.3,31.45,2.3,0.75,327.0,,,42.99,Zhao2024
48.34,11.3,31.45,2.3,0.75,377.0,,,46.17,Zhao2024
48.34,11.3,31.45,2.3,0.75,427.0,,,51.44,Zhao2024
48.34,11.3,31.45,2.3,0.75,477.0,,,46.6,Zhao2024
48.34,11.3,31.45,2.3,0.75,527.0,,,39.97,Zhao2024
19.72,30.32,30.92,7.4,0.6,277.0,,,36.52,Zhao2024
19.72,30.32,30.92,7.4,0.6,377.0,,,43.28,Zhao2024
19.72,30.32,30.92,7.4,0.6,427.0,,,47.55,Zhao2024
19.72,30.32,30.92,7.4,0.6,477.0,,,43.82,Zhao2024
19.72,30.32,30.92,7.4,0.6,527.0,,,35.96,Zhao2024
36.78,31.67,12.66,6.7,3.5,277.0,,,28.87,Zhao2024
36.78,31.67,12.66,6.7,3.5,327.0,,,27.68,Zhao2024
36.78,31.67,12.66,6.7,3.5,377.0,,,27.08,Zhao2024
36.78,31.67,12.66,6.7,3.5,427.0,,,27.98,Zhao2024
36.78,31.67,12.66,6.7,3.5,477.0,,,27.08,Zhao2024
36.78,31.67,12.66,6.7,3.5,527.0,,,24.4,Zhao2024
32.06,28.59,29.08,1.2,2.0,400.0,,,49.29,Zhao2024
32.06,28.59,29.08,1.2,2.0,500.0,,,57.95,Zhao2024
32.06,28.59,29.08,1.2,2.0,600.0,,,47.35,Zhao2024
27.19,31.93,36.9,0.8,2.0,400.0,,,61.76,Zhao2024
27.19,31.93,36.9,0.8,2.0,500.0,,,60.96,Zhao2024
27.19,31.93,36.9,0.8,2.0,600.0,,,52.32,Zhao2024
33.04,23.82,45.59,7.4,0.64,435.0,,,39.43,Zhao2024
33.04,23.82,45.59,7.4,0.64,453.0,,,44.18,Zhao2024
33.04,23.82,45.59,7.4,0.64,475.0,,,44.75,Zhao2024
33.04,23.82,45.59,7.4,0.64,490.0,,,49.4,Zhao2024
33.04,23.82,45.59,7.4,0.64,512.0,,,39.11,Zhao2024
33.04,23.82,45.59,7.4,0.64,533.0,,,37.08,Zhao2024
33.04,23.82,45.59,7.4,0.93,491.0,,,43.61,Zhao2024
33.04,23.82,45.59,7.4,0.64,492.0,,,25.79,Zhao2024
